,principal_0,principal_1,principal_2,principal_3,principal_4
77,97.94575116477725,-123.682242881489,-93.094297852754,23.60184555030285,-9.159963920898726
78,-234.14252056555813,45.625986610062924,-151.04779390519354,-8.457576541146533,12.938867668948262
79,-234.14252123067413,45.62599320260307,-151.04779944107617,-8.458318807160953,12.940443770865887
80,-123.01751231192036,-35.75453615968269,-35.14527142512408,-8.644530269319114,12.55403060422322
81,-123.01751297703643,-35.754529567142505,-35.14527696100666,-8.645272535333568,12.55560670614085
82,30.167438016716098,-55.954350259591244,-56.59200378390996,16.997999001876728,-0.09687509637431761
83,691.4050566094554,-172.3120353905082,-90.19098561321763,-13.42704729860079,-6.137764081624067
84,105.51850278577781,-147.5907510874795,-192.85012335725477,-28.902644103878202,-2.637640792240654
85,315.2699865652282,84.30259383819934,-223.7181570286789,16.31644528474438,4.8198979131865425
86,1037.7115719053602,747.3100255196968,-39.064151397564196,2.956920119710272,-11.345179019004316
87,1952.055642873884,97.25191460853804,305.3645771044953,11.221696834227272,2.229130861047727
88,1307.9052070431317,-147.3107201328809,471.75773698820853,-9.193010683839846,6.387789563329635
89,2292.521386584788,271.638888841684,-457.64872374563237,-33.7716645576371,-0.32451391580157574
90,1660.782465698041,750.1971319275968,64.4842799218991,9.325800692592926,2.0863123484320054
91,1152.5546066598633,-290.2751459617894,240.6696198174673,-2.9764175017551393,-4.097332369570136
92,2206.9303778927647,-912.7782618219343,50.64828185227882,-7.32319632594035,-1.7765101005417
93,1367.4286091112976,359.55068995513153,164.7930407625613,-18.57006029190612,-2.4349243570735974
94,2025.107524894618,502.213540403058,193.47594685491387,-2.607713776796816,-11.101848034402327
95,1025.628193539654,-50.585902713333255,250.97734837361955,-2.42407423121319,-6.995102542251658
96,2163.4480826100903,794.2698968355647,312.4697419700123,1.0530593575939586,2.2618338385375787
97,1205.823179793782,147.63664796898323,217.44041765039762,1.7056519996943977,-9.686573235043166
98,1450.1515930730095,-512.769339020234,-200.89650654015756,-6.471911481391436,-8.150565258494655
99,2287.54449853351,592.030250217287,331.18410247714417,-8.493804394183737,-4.061746626993456
100,1663.7158154893339,564.80250768261,71.33138923691732,-2.219822506651316,0.5102124568823523
101,976.846360256394,-89.29993505151832,130.96627304013808,-19.544227226099704,-4.628898072041848
102,6.1502917885965545,-112.24671273044767,206.51637975443268,22.676854519169652,42.470262983828555
103,339.83697005107405,554.5886841119327,-64.3315601346372,-3.150640646644567,14.442971744052809
