,index,NewName_x,playerId,positionText_x,teamName_x,League_x
153,2670,B. Oczipka,67925,Defender,Schalke 04,German 1 Bundesliga
154,2672,Wendell,132273,Defender,Bayer Leverkusen,German 1 Bundesliga
155,2674,L. Piszczek,11090,Defender,Borussia Dortmund,German 1 Bundesliga
156,2675,D. da Costa,94934,Defender,Eintracht Frankfurt,German 1 Bundesliga
157,2682,J. Tah,134946,Defender,Bayer Leverkusen,German 1 Bundesliga
158,2687,M. Ginter,110182,Defender,Borussia M.Gladbach,German 1 Bundesliga
159,2692,D. Heintz,110132,Defender,Freiburg,German 1 Bundesliga
160,2693,P. Kaderábek,90548,Defender,Hoffenheim,German 1 Bundesliga
161,2696,R. Knoche,100591,Defender,Wolfsburg,German 1 Bundesliga
162,2697,K. Ehizibue,244583,Defender,FC Koln,German 1 Bundesliga
163,2699,M. Weiser,108914,Defender,Bayer Leverkusen,German 1 Bundesliga
164,2704,J. Boateng,23589,Defender,Bayern Munich,German 1 Bundesliga
165,2715,J. Roussillon,97145,Defender,Wolfsburg,German 1 Bundesliga
166,2717,R. Czichos,115172,Defender,FC Koln,German 1 Bundesliga
167,2720,C. Günter,116464,Defender,Freiburg,German 1 Bundesliga
168,2721,T. Gebre Selassie,36663,Defender,Werder Bremen,German 1 Bundesliga
169,2722,R. Koch,276205,Defender,Freiburg,German 1 Bundesliga
170,2728,D. Brosinski,31814,Defender,Mainz 05,German 1 Bundesliga
171,2734,N. Gießelmann,115983,Defender,Fortuna Duesseldorf,German 1 Bundesliga
172,2737,O. Wendt,10088,Defender,Borussia M.Gladbach,German 1 Bundesliga
173,2754,M. Nastasic,91200,Defender,Schalke 04,German 1 Bundesliga
174,2775,K. Ayhan,129171,Defender,Fortuna Duesseldorf,German 1 Bundesliga
175,2779,N. Moisander,25041,Defender,Werder Bremen,German 1 Bundesliga
176,2786,A. Martín,323546,Defender,Mainz 05,German 1 Bundesliga
177,2795,M. Niakhaté,296319,Defender,Mainz 05,German 1 Bundesliga
178,2804,K. Rekik,106530,Defender,Hertha Berlin,German 1 Bundesliga
179,2805,J. Gouweleeuw,97351,Defender,Augsburg,German 1 Bundesliga
180,2810,D. Abraham,23199,Defender,Eintracht Frankfurt,German 1 Bundesliga
181,2818,N. Stark,124597,Defender,Hertha Berlin,German 1 Bundesliga
182,2819,M. Hasebe,16954,Defender,Eintracht Frankfurt,German 1 Bundesliga
183,2834,A. Bodzek,14165,Defender,Fortuna Duesseldorf,German 1 Bundesliga
184,2839,M. Veljkovic,141399,Defender,Werder Bremen,German 1 Bundesliga
185,3394,Marquinhos,101949,Defender,Paris Saint-Germain,French Ligue 1
186,3413,J. Amavi,134902,Defender,Marseille,French Ligue 1
187,3430,B. Sarr,104747,Defender,Marseille,French Ligue 1
188,3431,N. Pallois,84899,Defender,Nantes,French Ligue 1
189,3432,P. Kimpembe,247800,Defender,Paris Saint-Germain,French Ligue 1
190,3439,Marcelo,27761,Defender,Lyon,French Ligue 1
191,3440,H. Traoré,289018,Defender,Rennes,French Ligue 1
192,3443,T. Silva,28550,Defender,Paris Saint-Germain,French Ligue 1
193,3447,G. Konan,331567,Defender,Reims,French Ligue 1
194,3450,Hilton,6743,Defender,Montpellier,French Ligue 1
195,3452,T. Meunier,104376,Defender,Paris Saint-Germain,French Ligue 1
196,3457,D. Da Silva,34176,Defender,Rennes,French Ligue 1
197,3462,A. Djiku,121711,Defender,Strasbourg,French Ligue 1
198,3470,I. Sylla,121858,Defender,Toulouse,French Ligue 1
199,3471,K. Lala,105151,Defender,Strasbourg,French Ligue 1
200,3474,A. Diallo,248112,Defender,Paris Saint-Germain,French Ligue 1
201,3481,Dante,6683,Defender,Nice,French Ligue 1
202,3483,R. Thomas,232577,Defender,Angers,French Ligue 1
203,3499,H. Sakai,62108,Defender,Marseille,French Ligue 1
204,3504,L. Dubois,146724,Defender,Lyon,French Ligue 1
205,3506,L. Kurzawa,92795,Defender,Paris Saint-Germain,French Ligue 1
206,3510,J. Denayer,243511,Defender,Lyon,French Ligue 1
207,3514,P. Martinez,234405,Defender,Nimes,French Ligue 1
208,3525,G. Maripán,121417,Defender,Monaco,French Ligue 1
209,3526,L. Perrin,13436,Defender,Saint-Etienne,French Ligue 1
210,3531,K. Glik,44208,Defender,Monaco,French Ligue 1
211,3537,F. Chafik,236500,Defender,Dijon,French Ligue 1
212,3549,B. Ecuele Manga,42573,Defender,Dijon,French Ligue 1
213,3550,D. Congré,13343,Defender,Montpellier,French Ligue 1
214,3556,L. Koné,34214,Defender,Strasbourg,French Ligue 1
215,3568,I. Traoré,27356,Defender,Angers,French Ligue 1
216,3573,P. Mendes,67474,Defender,Montpellier,French Ligue 1
217,3574,R. Aguilar,236546,Defender,Monaco,French Ligue 1
218,3576,Á. González,99907,Defender,Marseille,French Ligue 1
219,3600,J. Gelin,297540,Defender,Rennes,French Ligue 1
220,3602,F. Ballo-Toure,328968,Defender,Monaco,French Ligue 1
221,3602,F. Ballo-Toure,328968,Defender,Monaco,French Ligue 1
222,3609,M. Sarr,322747,Defender,Nice,French Ligue 1
